Extension,Metadata,Category,MIME Type
.ftm,Micrografx font,Font,
.eft,ChiWriter high resolution screen font,Font,
.pfm,Printer outline metric font,Font,application/x-font-type1
.odttf,Microsoft Office document embedded font,Font,
.tmf,Corel WordPerfect tagged font metric,Font,
.tpf,HiJaak downloadable PCL soft font,Font,
.pss,Adobe Type Manager PostScript stub data,Font,
.mcf,Mathcad font,Font,
.fon,Microsoft Windows bitmap font,Font,
.collection,Font collection cache,Font,
.96,Corel Ventura Publisher 96x96 dpi display font,Font,
.gft,NeoPaint font,Font,
.dzk,AMP font library,Font,
.vfb,Font description data,Font,
.sfl,PCL4 Ventura printer bitmap font,Font,
.afn,ArtCAM font,Font,
.sfp,LaserJet portrait font file,Font,
.85,Ventura Publisher 85x85 dpi display font,Font,
.pfa,PostScript type 1 font,Font,application/x-font-type1
.hbf,Hanzi bitmap font,Font,
.chx,Big font set,Font,
.auf,Alphacam user font,Font,
.75,Ventura Publisher 75x75 dpi display font,Font,
.mgf,Micrografx font,Font,
.fxr,Oracle font cross-reference data,Font,
.vlw,Processing font,Font,
.vf3,6D Embroidery Software font,Font,
.sfi,Corel Ventura Publisher HP LaserJet printer font,Font,
.vfm,Ventura Publisher font metrics,Font,
.f11,MS-DOS screen text 11 pixels height font file,Font,
.glif,Glyph Interchange Format,Font,
.vmf,Corel Ventura Publisher font characteristics,Font,
.abf,Adobe binary screen font,Font,
.usp,PageMaker printer font,Font,
.0b,Adobe PageMaker printer font,Font,
.tte,Microsoft Windows Private Character Editor data,Font,
.bco,Bitstream outline font description file,Font,
.vf1,Birch BP-743 variable pitch font,Font,
.dfont,Mac Data Fork Suitcase Format,Font,
.xfc,X-Fonter font collection,Font,
.gf,MetaFont font,Font,
.font,Font data,Font,
.zsu,Zebra printer font file,Font,
.gsf,Ghostscript fonts,Font,application/x-font-ghostscript
.085,Corel Ventura Publisher 85x85 dpi font,Font,
.tfm,Tagged Font Metric data,Font,application/x-tex-tfm
.spritefont,XNA Game Studio font,Font,
.sfo,Bitstream font,Font,
.mcf,Watchtower Library font,Font,
.cfn,Calamus font data file,Font,
.pcf,UNIX font,Font,application/x-font-pcf
.zfi,ZenGL font,Font,
.lft,ChiWriter laser printer font,Font,
.fog,Fontographer font database file,Font,
.mfm,VTeX multiple master font metrics,Font,application/vnd.mfmp
.mvec,Playground SDK font,Font,
.wfn,Corel font or symbol,Font,
.euf,Microsoft Windows Private Character Editor font,Font,
.cff,Compact Font,Font,
.f00,Kanji font,Font,
.8u,Adobe Pagemaker Roman 8 extended character set printer font,Font,
.075,Corel Ventura Publisher 75x75 dpi font,Font,
.okf,OKF font file format,Font,
.vnf,Vision Numeric font,Font,
.qfn,Apple QuickTime font file,Font,
.tb2,Borland Turbo C font,Font,
.8m,Adobe PageMaker math 8 printer font,Font,
.qbf,QuickBASIC font,Font,
.bfn,Brother Embroidery software font,Font,
.phf,Photofont font,Font,
.bzr,Binary font,Font,
.fot,Truetype font styles,Font,
.b30,Ventura Publisher printer font,Font,
.compositefont,Composite font file,Font,
.t2,TrueType font file,Font,
.f10,DOS screen text 10 pixels height font file,Font,
.tb1,Borland Turbo C font,Font,
.64c,Commodore C64 Emulator data or font,Font,
.f08,DOS screen text 8 pixels height font,Font,
.pil,Python Image Library font,Font,
.gdr,Symbian OS bitmap font,Font,
.fnn,MS-DOS screen text font,Font,
.frs,Corel WordPerfect screen font resource file,Font,
.ffil,Mac OS X Data Fork Suitcase Format,Font,
.091,Corel Ventura Publisher 91x91 dpi font,Font,
.f16,DOS screen text 16 pixels height font file,Font,
.bez,Bitstream outline font description file,Font,
.f06,MS-DOS screen text 6 pixels height font,Font,
.fonts,Font,Font,
.dus,Readiris font dictionary data,Font,
.hfi,HP font,Font,
.sfn,EasySIGN font,Font,
.w30,Ventura Publisher printer font,Font,
.fdb,Font definition block of SWT generator,Font,
.t1c,Adobe Postscript Type1 compressible font,Font,
.scr,LocoScript screen font,Font,
.sft,ChiWriter screen font,Font,
.fnb,1st Publisher font,Font,
.bx,Embrilliance Essentials font,Font,
.12u,Adobe PageMaker font,Font,
.#gf,MetaFont font,Font,
.f12,DOS screen text 12 pixel height font,Font,
.f09,MS-DOS screen text 9 pixels height font,Font,
.f3f,Crazy Machines font data,Font,
.f13,MS-DOS screen text 13 pixels height font,Font,
.usl,LaserJet landscape font,Font,
.atm,Adobe Type Manager data,Font,
.mft,MetaFont Source Formatter,Font,
.ufo,Unified font object,Font,
.svg,SVG fonts format,Font,image/svg+xml
.fo1,Borland Turbo C font,Font,
._v,Adobe Type Manager Japanese font metrics,Font,
.acfm,Adobe composite font metrics,Font,
.mtf,Mediatek font,Font,
.bmf,BMF ByteMap font file,Font,
.fdb,Ming font,Font,
.vf,TeX virtual font,Font,
.mmm,Adobe Type Manager multiple-master font metrics,Font,
.sfd,Fontforge Spline Font database file format,Font,
.chm,Chameleon source font,Font,application/vnd.ms-htmlhelp
.txf,Celestia font texture,Font,application/vnd.mobius.txf
.spd,Bitstream Speedo scalable font,Font,
.aspf,Adobe Type1 Fonts mac file type,Font,
.cga,Ventura Publisher CGA display font,Font,
.$tf,Steinberg Cubase fonts compressed data,Font,
.etx,TeX font file,Font,text/x-setext
.bdf,UNIX font,Font,application/x-font-bdf
.type,Amiga font,Font,
.prs,Corel WordPerfect printer resource font,Font,
.096,Corel Ventura Publisher 96x96 dpi font,Font,
.nlq,Daisy-Dot 19x16 font,Font,
.pcf,PaintCAD font,Font,application/x-font-pcf
.lwfn,Adobe Type 1 font,Font,
.flf,FIGlet zipped figletized text font,Font,
.cef,Adobe Illustrator compact embedded font,Font,
.pfa,Unhinted PostScript Type 3 font,Font,application/x-font-type1
.us?,Microsoft Word font file,Font,
.snf,UNIX font,Font,application/x-font-snf
.sif,Super-IRG font,Font,
.cha,DTL OTMaster character layout,Font,
.r8?,Microsoft Word for DOS font file,Font,
.ntf,Microsoft Windows font format,Font,
.fo2,Borland Turbo C font,Font,
.glf,AfterGRASP font file,Font,
.xfn,Corel Ventura printer font,Font,
.chr,Blazing Paddles font,Font,
.mrf,Macintosh font,Font,
.###,SmartWare filled area font,Font,
.ff,Agfa Compugraphics outline font description,Font,
.snf,DESQview font,Font,application/x-font-snf
.sxs,Atari 16x16 font,Font,
.cbtf,Plazmic font,Font,
.sui,Apple MAC font,Font,
.xft,ChiWriter 24 pin printer font,Font,
.gxf,General CADD Pro font,Font,
.asf,Lotus screen font,Font,video/x-ms-asf
.bepf,Adobe Big Endian Prebuilt Format,Font,
.wnf,CorelDRAW outline font description file,Font,
.pft,ChiWriter printer font,Font,
.tdf,TheDraw font,Font,
.all,Arts & Letters library,Font,
.cct,SIL Hebrew Font System transliteration table,Font,application/x-director
.intellifont,Intellifont data,Font,
.fn3,Harvard Graphics 3.0 font,Font,
.sfs,HP PCL 5 scalable font,Font,application/vnd.spotfire.sfs
.acs,AtariTools-800 font,Font,
.pfr,Font Fusion portable font resource,Font,application/font-tdpfr
.15u,Adobe PageMaker printer font,Font,
.ch4,ZX Spectrum font,Font,
.amfm,Adobe multiple font metrics file,Font,
.fd,Font definition file,Font,
.claf,Claris font file,Font,
.sff,SmartWare screen font file,Font,
.ice,Interlace Character Editor font,Font,x-conference/x-cooltalk
.lepf,Adobe Little Endian Prebuilt Format,Font,
.fyi,Fontasy Publisher italic font file,Font,
.fli,Tex font library (EmTeX),Font,video/x-fli
.mfd,Adobe multiple master font metrics directory,Font,
.fnta,Marathon 2 Aleph One font file,Font,
.xfr,Ventura Publisher bitmap editor font,Font,
.$on,Steinberg Cubase fonts compressed file,Font,
.kbitx,Bits'N'Picas format (version 2.x),Font,
.kbits,Bits'N'Picas format (version 1.x),Font,
.pdf,Adobe Portable document format,Document,application/pdf
.docx,Microsoft Word Open XML document,Document,application/vnd.openxmlformats-officedocument.wordprocessingml.document
.epub,Open Publication structure e-book,Document,application/epub+zip
.pmd,Adobe PageMaker document,Document,
.oxps,Microsoft OpenXPS document,Document,
.edoc,Electronically certified document,Document,
.indd,Adobe InDesign document,Document,
.btw,BarTender barcode label,Document,
.pages,Pages document,Document,
.eddx,Edraw project,Document,
._pdf,Adobe Portable Document Format,Document,
.show,Hancom Office Hanshow presentation data,Document,
.mso,Microsoft Organization Chart chart data,Document,
.hwp,Hanword (Hangul) document,Document,
.ete,Exam Testing Engine test,Document,
.prn,HP PCL printer output,Document,
.lic,License file,Document,
.inp,InPage Urdu document,Document,
.pbix,Microsoft Power BI report,Document,
.prnx,XtraReports report,Document,
.doc,Microsoft Word document (prior version 2007),Document,application/msword
.p65,Adobe PageMaker 6.5 document,Document,
.pub,Microsoft Publisher document,Document,application/x-mspublisher
.asice,Associated Signature Container (ASiC-E),Document,
.idml,InDesign Markup Language document,Document,
.mpp,Microsoft Project plan file,Document,application/vnd.ms-project
.pptx,Microsoft PowerPoint Open XML presentation,Document,application/vnd.openxmlformats-officedocument.presentationml.presentation
.imscc,Canvas exported course,Document,
.iwa,Apple iWork document archive,Document,
.ete,EpsilonTest document,Document,
.xmind,XMind workbook,Document,
.bwd,BanglaWord document,Document,
.mdj,StarUML model,Document,
.bmpr,Balsamiq Mockups document,Document,
.xbrl,Extensible Business Reporting Language,Document,
.nbib,PubMED citation data,Document,
.word,MacWrite document,Document,
.tns,TI-Nspire document,Document,
.enw,EndNote citation file,Document,
.ppdf,Microsoft Rights Management PDF protected document,Document,
.prproj,Adobe Premiere Pro project,Document,
.xfdl,Extensible forms description language,Document,application/vnd.xfdl
.cap,Network Monitor capture data,Document,
.ink,Mimio ink data,Document,
.ez,EZ Word word processor document,Document,application/andrew-inset
.nb,Mathematica notebook data,Document,application/mathematica
.gofin,Druki Gofin document,Document,
.note,Notability note,Document,
.odt,ODF text document,Document,application/vnd.oasis.opendocument.text
.ppt,Microsoft PowerPoint 97 to 2003 presentation,Document,application/vnd.ms-powerpoint
.ggb,GeoGebra document,Document,application/vnd.geogebra.file
.snt,Microsoft Windows Sticky Notes data,Document,
.jrprint,JasperReports print data,Document,
.mind,Mindmeister mindmap,Document,
.bdoc,DigiDoc Client document,Document,
.roz,aSc TimeTables timetable data,Document,
.ods,OpenDocument spreadsheet,Document,application/vnd.oasis.opendocument.spreadsheet
.wri,Windows Write document,Document,application/x-mswrite
.mcdx,Mathcad Prime document,Document,
.vsd,Microsoft Visio diagram document,Document,application/vnd.visio
.pez,Prezi Desktop presentation data,Document,
.jnt,Microsoft Windows Journal note file,Document,
.fdf,Adobe Acrobat Portable Document input form,Document,application/vnd.fdf
.xps,Microsoft XPS document,Document,application/vnd.ms-xpsdocument
.rtf,Rich Text Format document,Document,application/rtf
.tpl,Template file,Document,application/vnd.groove-tool-template
.tmd,TextMaker document,Document,
.fr3,FastReport form file,Document,
.pmx,Adobe PageMaker document,Document,
.mmap,MindManager mind map,Document,
.sam,Ami Pro document,Document,
.tex,TeX/LaTeX text document,Document,application/x-tex
.jw,WordPad / JustWrite document,Document,
.ppsx,Microsoft PowerPoint Open XML complete slide show,Document,application/vnd.openxmlformats-officedocument.presentationml.slideshow
.wxmx,wxMaxima document,Document,
.snp,Microsoft Access report shapshot,Document,
.wps,Microsoft Works document,Document,application/vnd.ms-works
.xsn,Microsoft Office InfoPath template form,Document,
.djvu,DjVu image,Document,image/vnd.djvu
.pwi,Microsoft Office Mobile personal note,Document,
.pm5,Adobe PageMaker 5 document,Document,
.bib,BibTeX document,Document,
.lucy,HTC Scribble note,Document,
.prd,SoftMaker Presentations document,Document,
.emmx,Edraw Mindmaster / EdrawMind XML project,Document,
.keynote,iWork Keynote '06 presentation,Document,
.sxw,OpenOffice.org Writer document,Document,application/vnd.sun.xml.writer
.xdw,DocuWorks document,Document,application/vnd.fujixerox.docuworks
.lvm,LabVIEW measurement data,Document,
.wpd,Corel WordPerfect document,Document,application/vnd.wordperfect
.drmz,Drumlin secured PDF document,Document,
.emm,MindMaple mind map document,Document,
.ps,Adobe PostScript document,Document,application/postscript
.mht,Mime HTML (MHTML) document,Document,message/rfc822
.av,Final Draft AV document (version 1),Document,
.pt,Page template,Document,
.pzfx,GraphPad Prism XML project,Document,
.mm,FreeMind mind map data,Document,
.itmz,iThoughtsX mind-map document,Document,
.notebook,SMART Notebook digital lesson,Document,
.ffdata,ABBYY eform document,Document,
.bibtex,BibTeX document,Document,
.lwp,Lotus Word Pro document,Document,application/vnd.lotus-wordpro
.mpx,Microsoft Project export,Document,
.far,eForms Designer form,Document,
.cnote,CollaNote note,Document,
.btd,Business-in-a-Box document,Document,
.lax,AnetHelpTool JavaHelp viewer data file,Document,
.ftil,e-Hastakshar contract note,Document,
.ind,Adobe InDesign graphics document,Document,
.ydd,Visual YANG Designer document,Document,
.mcd,MathCAD document,Document,application/vnd.mcd
.tbk,ToolBooK project,Document,
.dot,Microsoft Word document template (up to Microsoft Word 2003 version),Document,application/msword
.dbx,Microsoft Outlook Express e-mail folder,Document,
.dotx,Microsoft Word XML document template,Document,application/vnd.openxmlformats-officedocument.wordprocessingml.template
.ftw,Family Tree Maker project,Document,
.pdfx,PDF/X document,Document,
.msor,FiberTrace document,Document,
.mxfd,ABBYY form,Document,
.caj,Chinese Academic Journals full-text database,Document,
.flw,Freelance flowchart,Document,application/vnd.kde.kivio
.ppsm,Microsoft PowerPoint macro-enabled Open XML complete slide show,Document,application/vnd.ms-powerpoint.slideshow.macroenabled.12
.vsp,Corel VideoStudio Pro project,Document,
.wpostx,Microsoft Windows Live Writer post,Document,
.pps,Microsoft PowerPoint 97 to 2003 complete slide show,Document,application/vnd.ms-powerpoint
.rf,Adobe FrameMaker document,Document,
.pfd,Micrografx Optimal process flow diagram,Document,
.cst,Commonspace document,Document,application/x-director
.opx,Microsoft Office Organization chart file format,Document,
.x3g,MakerBot MakerWare 3D document,Document,
.cmx,Corel Presentation exchange image,Document,image/x-cmx
.ezpx,GoLabel document,Document,
.cwk,ClarisWorks document,Document,
.cnt,Help Contents data,Document,
.odp,OpenOffice.org OpenDocument presentation,Document,application/vnd.oasis.opendocument.presentation
.obd,Microsoft Office Binder document,Document,application/x-msbinder
.igx,iGrafX FlowCharter flow chart or process model,Document,application/vnd.micrografx.igx
.twbx,Tableau packaged workbook,Document,
.ole2,Microsoft Office binary document container format,Document,
.rvf,RichView document,Document,
.wrf,ThinkFree Write document,Document,
.dox,Microsoft Word text document,Document,
.indt,Adobe InDesign template,Document,
.med,MEDLINE document file,Document,
.vce,Visual CertExam Suite exam,Document,
.aww,Ability Write document,Document,
.shs,Microsoft Windows Shell Scrap Object,Document,
.inx,Adobe InDesign Interchange File Format,Document,
.jhd,Jagannatha Hora document,Document,
.zargo,ArgoUML model file,Document,
.if,IFwin project,Document,
.psr,PowerSoft report,Document,
.slf,Symantec license,Document,
.oad,Suite Notaro document,Document,
.pod,Openproj project,Document,
.pdi,Microsoft PowerPoint import or export data,Document,
.mpr,AutoCAD mass properties report,Document,
.pptm,Microsoft PowerPoint macro-enabled Open XML presentation,Document,application/vnd.ms-powerpoint.presentation.macroenabled.12
.idd,Adobe InDesign for Mac document,Document,
.dd,DDwin project file,Document,
.plp,PicaLoader project,Document,
.prc,Corel Presentations document,Document,application/x-mobipocket-ebook
.fpage,Microsoft XPS document page,Document,
.vwi,Microsoft SharePoint workflow diagram,Document,
.fm,FileMaker Pro database,Document,application/vnd.framemaker
.smmx,SimpleMind mind map,Document,
.book,Adobe FrameMaker book document,Document,application/vnd.framemaker
.chm,Microsoft compiled HTML help module,Document,application/vnd.ms-htmlhelp
.dwd,Davka Writer document,Document,
.zfo,XSL-FO online form,Document,
.pre,Freelance presentation,Document,application/vnd.lotus-freelance
.wpt,Corel WordPerfect document template,Document,
.uxf,UMLet UML eXchange format,Document,
.gev,GelEval document,Document,
.smm,Samsung Galaxy S memo exported data,Document,
.gp4,Guitar Pro 4 project,Document,
.rnt,RightNote note,Document,
.enex,Evernote exported XML data,Document,
.ftl,FreeMarker template,Document,
.rrpa,Oracle Reports Remote Printing Utility PDF report,Document,
.pwd,Microsoft Pocket Word document,Document,
.dp,Common Ground portable file format,Document,application/vnd.osgi.dp
.pm6,Adobe PageMaker document,Document,
.quiz,Quizmaker 09' to 13' quiz,Document,
.pkg,Automise ActionStudio action design,Document,application/octet-stream
.uml,Visual UML class diagram & model,Document,
.4w7,4D Write document,Document,
.ole,Microsoft Object Linking and Embedding data,Document,
.lp2,iLEAP document,Document,
.sdd,OpenOffice.org presentation,Document,application/vnd.stardivision.impress
.jtp,Microsoft Windows Journal template,Document,
.plf,InterVideo WinDVD playlist,Document,application/vnd.pocketlearn
.oplx,Omniplan project document,Document,
.oml,TracePro model file,Document,
.mindnode,MindNode document,Document,
.docm,Microsoft Word Open XML macro-enabled document,Document,application/vnd.ms-word.document.macroenabled.12
.ll,List & Label preview,Document,
.stm,HTML server side include data file,Document,
.cpy,eCopy Desktop scanned document,Document,
.ro,ROwin project,Document,
.pdf_,Adobe Acrobat portable document,Document,
.abw,AbiWord document,Document,application/x-abiword
.twdx,MindMapper document,Document,
.xvg,Grace document,Document,
.rd,R document file,Document,
.vdt,Viral Document Toolkit file,Document,
.flo,Micrografx FlowCharter flowchart data,Document,application/vnd.micrografx.flo
.dnt,RSNetWorx project,Document,
.jfm,JetForm Filler form,Document,
.tmdx,TextMaker document,Document,
.wrt,IBM Writing Assistant document,Document,
.xdp,Acrobat XML data package,Document,application/vnd.adobe.xdp+xml
.fodt,OpenDocument Flat XML document,Document,
.ps2,Adobe Level II PostScript document,Document,
.da,DAwin project,Document,
.marc,MAchine-Readable Cataloging (MARC) document file,Document,
.rwt,ReadWriteThink timeline,Document,
.dvi,TeX text document (TeX Device Independent File Format),Document,application/x-dvi
.pot,Microsoft PowerPoint 97 to 2003 template,Document,application/vnd.ms-powerpoint
.wtp,Wink template,Document,
.ila,LohnViewer document,Document,
.wls,602Tab spreadsheet,Document,
.efx,Everex eFax fax document,Document,
.adp,Microsoft Access project,Document,audio/adpcm
.wpf,Corel WordPerfect form,Document,
.spd,Sealed Acrobat document,Document,
.bbl,TeX/BibTeX bibliographic reference file,Document,
.cer,Lahey Fortran compilation error message,Document,application/pkix-cert
.rmd,Microsoft RegMaid document,Document,
.me,TROFF document,Document,text/troff
.sdw,OpenOffice.org text document,Document,application/vnd.stardivision.writer
.t,roff/troff unformatted manual page,Document,text/troff
.met,OmniPage Pro document,Document,
.gdc,Iconics GraphWorx32 document,Document,
.gno,GenoPro genealogy,Document,
.fax,Fax document (generic Group 3 1bit encoded data),Document,
.pdl,Print Shop Deluxe project,Document,
.pml,PADGen program information,Document,application/vnd.ctc-posml
.rels,Microsoft Open Office XML relationships data,Document,
.sds,Apache OpenOffice (OpenOffice.org) chart,Document,
.fbd,FlowBiz Workflow Designer procedure document,Document,
