Description,Extension,Category,MIME type,,,,,
XML Stylesheet,.xsl,Compressed,Unknown,,,,,
Self-Extracting Archive,.sea,3D Images,Unknown,,,,,
Nexus 3D Model,.nxs,Audio,application/vnd.enliven,,,,,
Traktor Collection File,.nml,Audio,Unknown,,,,,
Ventrilo Audio Recording,.vrf,Game Files,text/x-tex,,,,,
S.T.A.L.K.E.R. Properties File,.ltx,Executable,Unknown,,,,,
Maya Embedded Language Script,.mel,Settings Files,Unknown,,,,,
Liquid XML Studio Project Options File,.lxsopt,Data Files,Unknown,,,,,
PocketVok Vocabulary File,.vok,Spreadsheet,Unknown,,,,,
Lotus 1-2-3 SmartMaster File,.12m,Backup Files,application/vnd.yamaha.smaf-phrase,,,,,
ShadowProtect Full Backup File,.spf,3D Images,Unknown,,,,,
3D World Studio Environment,.3dw,GIS Files,Unknown,,,,,
DTED Level 1 File,.dt1,Executable,Unknown,,,,,
Automator Converter Action,.caction,Settings Files,Unknown,,,,,
Xbox 360 Binary User Interface File,.xur,Backup Files,Unknown,,,,,
Drive Snapshot Backup Continuation 2,.sn2,CAD Files,Unknown,,,,,
TopSolid Design Document,.top,Game Files,Unknown,,,,,
F.E.A.R. Game Archive,.arch00,Executable,Unknown,,,,,
Java Enterprise Archive File,.ear,Font Files,Unknown,,,,,
Symbian OS Font File,.gdr,Raster Images,Unknown,,,,,
AutoCAD DesignCenter Preview Cache File,.cdc,Developer Files,Unknown,,,,,
FoxPro Compiled Program Menu,.mpx,Developer Files,Unknown,,,,,
Rave Reports Project File,.rav,Data Files,Unknown,,,,,
QuickTax 2009 Tax Return,.q09,Vector Images,Unknown,,,,,
Sketchpad Drawing File,.sketchpad,Developer Files,Unknown,,,,,
KDevelop Project Data File,.kdevelop,Video,Unknown,,,,,
CyberLink PowerDVD Playlist,.playlist,Encoded Files,Unknown,,,,,
Merry X-Mas Ransomware Encrypted File,.merry,3D Images,Unknown,,,,,
PowerFlip 3D Image File,.yaodl,Developer Files,Unknown,,,,,
AutoPlay Media Studio 5 Project File,.am5,Vector Images,Unknown,,,,,
StarView Metafile,.svm,Encoded Files,Unknown,,,,,
Nbes Ransomware Encrypted File,.nbes,Settings Files,application/vnd.oasis.opendocument.chart,,,,,
Office Data Connection File,.odc,Data Files,application/vnd.kde.kpresenter,,,,,
KPresenter Presentation,.kpr,Developer Files,Unknown,,,,,
XNA Creators Club Game Package,.ccgame,CAD Files,Unknown,,,,,
FreeCAD Document,.fcstd,Web Files,Unknown,,,,,
WN Web File,.wn,Backup Files,Unknown,,,,,
Oracle VM VirtualBox Settings Backup File,.vbox-prev,Vector Images,Unknown,,,,,
ClipArt Gallery Package,.cag,Settings Files,Unknown,,,,,
QuickBooks Network Data File,.nd,Images,Unknown,,,,,
Zoner Zebra Metafile,.zbr,Developer Files,Unknown,,,,,
WiX Localization File,.wxl,Misc Files,Unknown,,,,,
Outlook Offline Data File,.ost,System Files,Unknown,,,,,
Unix Section 1 Manual Page,0.1,Text,Unknown,,,,,
ThinkFree Online Note Document,.docz,Settings Files,Unknown,,,,,
ShareX Image Effect File,.sxie,Data Files,Unknown,,,,,
GraphClick File,.gc,System Files,Unknown,,,,,
Unix Section 6 Manual Page,0.6,Misc Files,Unknown,,,,,
Screen Sharing VNC Internet Location,.vncloc,Images,Unknown,,,,,
WinFAX Image,.wfx,Game Files,Unknown,,,,,
Doctor V64 Nintendo 64 Game ROM,.v64,Web Files,Unknown,,,,,
Freeway Template,.fwtemplate,Web Files,Unknown,,,,,
Xara Web Designer Graphic,.xws,Database Files,application/vnd.palm,,,,,
Palm Query Application,.pqa,CAD Files,Unknown,,,,,
Navisworks File Set,.nwf,Audio,Unknown,,,,,
Cubase Expression Map File,.expressionmap,Game Files,Unknown,,,,,
Minecraft Bedrock Edition Add-On,.mcpack,Text,Unknown,,,,,
QuickBooks License File,.qbl,Compressed,Unknown,,,,,
ALZip Archive,.alz,Game Files,Unknown,,,,,
Command & Conquer 3 Replay File,.kwreplay,Video,Unknown,,,,,
Adobe Flash Protected Media File,.f4p,Data Files,Unknown,,,,,
SEO Note File,.seo,Data Files,Unknown,,,,,
Macro Express File,.mex,Disk Images,Unknown,,,,,
Compact ISO File,.wbi,Web Files,Unknown,,,,,
eSite Builder NXG Web Page,.nxg,System Files,Unknown,,,,,
Administrative Template File,.adm,Settings Files,Unknown,,,,,
Music Player Daemon File,.mpdconf,Misc Files,Unknown,,,,,
ACT! Database Pointer File,.pad,System Files,Unknown,,,,,
iPhone Firmware Image,.img2,Web Files,Unknown,,,,,
Ruby HTML Web Page,.rhtml,Developer Files,Unknown,,,,,
X++ Source Code File,.xpp,Raster Images,Unknown,,,,,
PTGui Project File,.pts,System Files,Unknown,,,,,
Router Firmware File,.rmt,Text,Unknown,,,,,
iLEAP Word Processing Document,.lp2,Developer Files,Unknown,,,,,
Twig Template,.twig,Video,application/java-serialized-object,,,,,
Astronomical Capture Video File,.ser,System Files,Unknown,,,,,
Apple Mobile Configuration File,.mobileconfig,Web Files,Unknown,,,,,
Hype Document Template,.hypetemplate,3D Images,Unknown,,,,,
DAZ Studio Encrypted Script,.dse,Backup Files,Unknown,,,,,
FitNotes Data Backup,.fitnotes,Images,Unknown,,,,,
Micro Dynamics MARS Image,.pbt,Misc Files,Unknown,,,,,
Radium 2 License File,.radiumkey2,Data Files,application/x-authorware-map,,,,,
Authorware Map File,.aam,CAD Files,Unknown,,,,,
GOM 3D File,.g3d,Settings Files,Unknown,,,,,
Real-DRAW Project File,.rdw,Misc Files,Unknown,,,,,
DPOF Auto Print Order File,.mrk,Settings Files,Unknown,,,,,
Pro Tools I/O Settings File,.pio,Page Layouts,Unknown,,,,,
Promethean Whiteboard Activity,.pwb,Compressed,Unknown,,,,,
WinRAR Split Archive Part 30,.r30,3D Images,Unknown,,,,,
Compressed Poser Prop File,.ppz,System Files,Unknown,,,,,
Windows Spelling Dictionary Identifier,.dub,Developer Files,Unknown,,,,,
Managed Object Model,.mom,Plugin Files,Unknown,,,,,
ArcGIS Explorer Add-in File,.eaz,Settings Files,Unknown,,,,,
SPSS TableLooks File,.tlo,Settings Files,Unknown,,,,,
DAZ Studio XML File,.dsx,Encoded Files,Unknown,,,,,
JM-Crypt Encrypted File,.jmc,Page Layouts,Unknown,,,,,
Apple Mail Stationery File,.mailstationery,Game Files,Unknown,,,,,
Unreal Engine 3 Package,.upk,Data Files,Unknown,,,,,
At Home 2011 Tax Return,.t11,Encoded Files,Unknown,,,,,
Wana Decrypt0r 2.0 Encrypted File,.wncry,Images,Unknown,,,,,
Ulead PhotoImpact Image,.upi,Web Files,text/javascript,,,,,
Node.js ES Module File,.mjs,3D Images,Unknown,,,,,
Bryce Object File,.obp,System Files,Unknown,,,,,
Mac OS X Screen Saver,.saver,CAD Files,Unknown,,,,,
FastCAM MTO Text File,.mto,Game Files,Unknown,,,,,
ZSNES Slot 7 Saved State File,.zs7,Settings Files,Unknown,,,,,
File Viewer Plus Batch Presets File,.fvp,Video,Unknown,,,,,
Blackmagic RAW Video,.braw,Disk Images,Unknown,,,,,
Amiga Formatted Disk Image,.fdi,Database Files,Unknown,,,,,
Apple Address Book Contact List,.abcddb,Compressed,Unknown,,,,,
Snappy Compressed File,.snz,Settings Files,Unknown,,,,,
Forms Credential Collector File,.fcc,Vector Images,Unknown,,,,,
ConceptDraw DIAGRAM Document (Legacy),.cdd,Game Files,Unknown,,,,,
Wolfenstein 2.06 Demo Movie File,.dm_84,Images,Unknown,,,,,
Pegs Image,.pxs,Misc Files,Unknown,,,,,
Calibre Device Data File,.calibre,Game Files,Unknown,,,,,
ZSNES Slot 9 Saved State File,.zs9,Plugin Files,Unknown,,,,,
Opera Extension,.oex,Executable,Unknown,,,,,
XYplorer Script File,.xys,Game Files,Unknown,,,,,
Age of Empires 3 Recording,.age3rec,Developer Files,Unknown,,,,,
AutoPlay Media Studio Project File,.autoplay,System Files,Unknown,,,,,
Sony Xperia Firmware File,.sin,Vector Images,Unknown,,,,,
Logitech io2 Drawing,.pen,Database Files,Unknown,,,,,
Database Text File,.dbt,Font Files,Unknown,,,,,
Macintosh Font Suitcase,.suit,Settings Files,Unknown,,,,,
AutoCAD Custom User Interface File,.cuix,Raster Images,Unknown,,,,,
Paint Shop Pro Brushes File,.jbr,Settings Files,Unknown,,,,,
Smart Launcher Home Screen Backup,.slbk,Database Files,Unknown,,,,,
EssentialPIM Database File,.epim,Encoded Files,Unknown,,,,,
Cryptra Encrypted File,.cryptra,Misc Files,Unknown,,,,,
Vuze Partial Download File,.az!,Settings Files,Unknown,,,,,
VST3 Preset File,.vstpreset,Web Files,Unknown,,,,,
Microsoft PowerPoint HTML Presentation,.ppthtml,Settings Files,Unknown,,,,,
MathType Preferences,.eqp,CAD Files,Unknown,,,,,
Luminaire Data File,.cib,Game Files,Unknown,,,,,
Duke Nukem 3D Demo File,.dmo,Page Layouts,Unknown,,,,,
HotDocs Form Template,.hft,Encoded Files,Unknown,,,,,
KKK Ransomware Encrypted File,.kkk,Settings Files,Unknown,,,,,
Adobe Lightroom Template,.lrtemplate,CAD Files,Unknown,,,,,
Fritzing Bundled Bin File,.fzbz,Data Files,Unknown,,,,,
Komodo Project File,.kpf,CAD Files,Unknown,,,,,
Procedimientos-Uno IFWin Project File,.if,Font Files,font/woff2,,,,,
Web Open Font Format 2.0 File,.woff2,3D Images,Unknown,,,,,
DAZ Brick Light File,.dbl,CAD Files,Unknown,,,,,
ArtiosCAD Workspace File,.ard,Videos,video/mp4,,,,,
MPEG-4 Video,.mpeg4,Database Files,Unknown,,,,,
Apple Music Library,.musicdb,Executable,Unknown,,,,,
MetaTrader 4 Program,.ex4,Audio,Unknown,,,,,
OptimFROG Audio File,.ofr,System Files,Unknown,,,,,
GConf Schema Definition File,.schemas,System Files,Unknown,,,,,
Spotlight Never Index File,.metadata_never_index,Images,Unknown,,,,,
IOCA Image,.ioca,Text,Unknown,,,,,
Windows Crawl File,.crwl,Data Files,Unknown,,,,,
Textease CT Template,.tet,Encoded Files,Unknown,,,,,
Rohos Disk Image File,.rdi,Video,Unknown,,,,,
FlashBack Screen Recorder Movie,.fbz,Raster Images,Unknown,,,,,
Wavelet Image,.wvl,Settings Files,Unknown,,,,,
Visual Studio Settings File,.vssettings,Developer Files,Unknown,,,,,
IntelliJ IDEA Project File,.ipr,Data Files,Unknown,,,,,
LDAP Data Interchange Format File,.ldif,Raster Images,Unknown,,,,,
RVG X-ray Image,.rvg,CAD Files,Unknown,,,,,
Industry Foundation Classes XML File,.ifcxml,CAD Files,model/vnd.gdl,,,,,
Graphic Description Language File,.gsm,Images,Unknown,,,,,
Degas & Degas Elite Image,.pi1,System Files,Unknown,,,,,
Windows Net Logon File,.chg,Images,Unknown,,,,,
Pixel Power Collage Image,.i17,Video,Unknown,,,,,
After Effects Project Template,.aet,Data Files,Unknown,,,,,
Visio Report Definition File,.vrd,Misc Files,Unknown,,,,,
uTorrent Incomplete Download,.!ut,Plugin Files,Unknown,,,,,
Maxthon Add-On File,.mxaddon,Data Files,Unknown,,,,,
REAPER Project File,.rpp,Game Files,model/vnd.gdl,,,,,
Quake Engine Lump File,.lmp,Data Files,Unknown,,,,,
CrazyTalk Model File,.ctm,Misc Files,Unknown,,,,,
Lotus Notes User ID File,.id,Compressed,Unknown,,,,,
Renamed Zip File,.zi_,Images,Unknown,,,,,
TI Bitmap Image,.83i,System Files,Unknown,,,,,
NTFS Partition File,.ntfs,Developer Files,Unknown,,,,,
Lisp Source Code File,.lisp,Compressed,Unknown,,,,,
PAQ8P Data Archive,.paq8p,Data Files,Unknown,,,,,
Mac OS X Keychain File,.keychain,Settings Files,Unknown,,,,,
dtSearch Index File,.ix,3D Images,Unknown,,,,,
World of Tanks 3D Model Surface File,.visual,System Files,Unknown,,,,,
Mac OS X Help Book,.help,Page Layouts,Unknown,,,,,
Fax Cover Page File,.cpe,Audio,Unknown,,,,,
Audacity File List,.lof,GIS Files,Unknown,,,,,
ER Mapper Data File,.ers,Data Files,Unknown,,,,,
Visual CertExam Exam File,.vce,Text,Unknown,,,,,
Memento Notes File,.notes,3D Images,Unknown,,,,,
id Tech 4 3D Mesh File,.md5mesh,CAD Files,Unknown,,,,,
Alibre Design Part,.ad_prt,Settings Files,Unknown,,,,,
Windows 7 Boot Updater Skin,.bs7,Misc Files,Unknown,,,,,
Mozilla Address Book,.mab,System Files,Unknown,,,,,
Optimized Dalvik Executable,.odex,Developer Files,Unknown,,,,,
Windows Workflow File,.xoml,Video,Unknown,,,,,
Premiere Pro Title,.prtl,Audio,Unknown,,,,,
Stream Deck Audio,.streamdeckaudio,System Files,Unknown,,,,,
Shell Command File,.scf,Misc Files,Unknown,,,,,
Garmin Unlock File,.unl,Text,Unknown,,,,,
QDL Program,.qdl,Camera Raw Image,image/x-sony-sr2,,,,,
Sony RAW Image,.sr2,Developer Files,Unknown,,,,,
Xcode Workspace,.xcworkspace,Web Files,Unknown,,,,,
RapidWeaver Theme,.rwtheme,Page Layouts,Unknown,,,,,
Report XML File,.rpx,Developer Files,text/x-fortran,,,,,
Fortran Source Code File,.for,Text,Unknown,,,,,
Mellel Word Processing File,.mell,3D Images,Unknown,,,,,
VirtualBus Texture Description File,.ts1,3D Images,Unknown,,,,,
Universal Scene Description Format,.usd,Raster Images,Unknown,,,,,
Subspace Bitmap File,.bm2,Data Files,Unknown,,,,,
Mathcad Prime Document,.mcdx,3D Images,Unknown,,,,,
3ds Max Container File,.maxc,Executable,Unknown,,,,,
Macro Express Playable Macro,.mxe,Game Files,Unknown,,,,,
Splinter Cell Blacklist Game Data File,.umd,System Files,Unknown,,,,,
Group Policy Administrative Template File,.admx,CAD Files,Unknown,,,,,
Chitubox Project,.chitubox,Audio,Unknown,,,,,
OpenUTAU Sequence Text File,.ustx,Encoded Files,Unknown,,,,,
Dharma Ransomware Encrypted File,.adobe,Game Files,Unknown,,,,,
StarCraft 2 Bank File,.sc2bank,Video,Unknown,,,,,
Animate Uncompressed Animation,.xfl,Developer Files,Unknown,,,,,
Delphi .NET Form File,.nfm,CAD Files,Unknown,,,,,
ACIS SAT 3D Model,.sat,Backup Files,Unknown,,,,,
Finale 2014 Score Backup,.bakx,Data Files,Unknown,,,,,
Pcap-NG Packet Capture File,.pcapng,Backup Files,Unknown,,,,,
Address Book Backup,.abbu,Web Files,application/xhtml+xml,,,,,
Extensible Hypertext Markup Language Document,.xhtm,Settings Files,Unknown,,,,,
Visual FoxPro Debugger Configuration File,.dbg,Game Files,Unknown,,,,,
Bioware Creature File,.utc,Executable,Unknown,,,,,
TrollStore IPA File,.tipa,Audio,Unknown,,,,,
NIST SPHERE Audio File,.sph,Plugin Files,Unknown,,,,,
Form•Z Compiled Script,.fsb,CAD Files,Unknown,,,,,
BobCAD-CAM Document,.bbcd,Data Files,Unknown,,,,,
RoboForm Option File,.rfo,Raster Images,Unknown,,,,,
Insta360 Panoramic Image,.insp,Compressed,Unknown,,,,,
Zooper Widget Template,.zw,3D Images,Unknown,,,,,
Gamebryo Model File,.nif,Web Files,Unknown,,,,,
NetObjects Fusion File,.nod,Plugin Files,Unknown,,,,,
Acrobat Plug-in,.api,Compressed,application/x-tar,,,,,
Zipped Tar Archive,.tz,Developer Files,Unknown,,,,,
OMNeT++ Network Description File,.ned,Data Files,Unknown,,,,,
SQL Program File,.sqr,Misc Files,Unknown,,,,,
Orbit Downloader Incomplete Download,.ob!,Vector Images,Unknown,,,,,
Sothink Logo Maker Image,.lmk,Database Files,Unknown,,,,,
StarMoney User Database File,.sdy,Data Files,Unknown,,,,,
TurboTax Canada 2020 Tax Return,.tt20,Developer Files,Unknown,,,,,
ML Source Code File,.ml,Settings Files,Unknown,,,,,
AutoCAD Profile,.arg,Images,Unknown,,,,,
Eclipse Image,.tile,Data Files,application/vnd.groove-injector,,,,,
Office Groove File,.grv,3D Images,Unknown,,,,,
3D Data Description File,.tddd,Vector Images,Unknown,,,,,
Sure Cuts A Lot Version 5 Project,.scut5,CAD Files,Unknown,,,,,
TopSolid Project,.topprj,Misc Files,Unknown,,,,,
Montage Screenplay File,.montage,Backup Files,Unknown,,,,,
FileFort Backup File,.bkz,3D Images,Unknown,,,,,
Artlantis Object File,.aof,Raster Images,Unknown,,,,,
RealWorld Graphics Layered Image,.rli,3D Images,Unknown,,,,,
Ansys CFD Mesh,.cmdb,Settings Files,Unknown,,,,,
Cubase Mixer Settings File,.vmx,Executable,Unknown,,,,,
MATLAB App Installation Package,.mlappinstall,Web Files,Unknown,,,,,
iWeb Website Design Project,.sites,Encoded Files,Unknown,,,,,
Paradise Ransomware Encrypted File,.paradise,Data Files,application/vnd.smart.notebook,,,,,
SMART Notebook File,.notebook,CAD Files,Unknown,,,,,
Exchange NC File,.xnc,Settings Files,Unknown,,,,,
KDE Folder View Properties File,.directory,Page Layouts,Unknown,,,,,
Windows Journal Template,.jtp,Developer Files,Unknown,,,,,
Kotlin Source Code File,.kt,Compressed,Unknown,,,,,
Unix Gzip File,.gzi,Data Files,Unknown,,,,,
Symantec Virus Database File,.xdb,Web Files,application/vnd.software602.filler.form-xml-zip,,,,,
XSL-FO Online Form,.zfo,Executable,Unknown,,,,,
MATLAB Live Code File,.mlx,Encoded Files,application/vnd.airzip.filesecure.azf,,,,,
AirZip FileSECURE File,.azf,Developer Files,Unknown,,,,,
Visual Studio Client Report Definition File,.rdlc,Database Files,Unknown,,,,,
WhatsApp Encrypted Database File,.crypt8,Misc Files,video/vnd.sealed.swf,,,,,
Sony Ericsson Firmware File,.ssw,Vector Images,Unknown,,,,,
DrawIt Drawing,.drawit,Executable,Unknown,,,,,
TI-73 Program,.73p,Game Files,Unknown,,,,,
BigJig 4 Jigsaw Puzzle,.jg4,Page Layouts,Unknown,,,,,
Adobe InDesign Document,.indd,Audio,Unknown,,,,,
VLC Playlist,.vlc,3D Images,Unknown,,,,,
Poser Scene File,.pz3,Game Files,Unknown,,,,,
Unreal Asset,.uasset,Encoded Files,Unknown,,,,,
Ryuk Ransomware Encrypted File,.ryk,Page Layouts,Unknown,,,,,
QuarkXPress Project File,.qxp,Encoded Files,Unknown,,,,,
EEWT Ransomware Encrypted File,.eewt,Database Files,application/scvp-vp-request,,,,,
SPSS Database Query File,.spq,Database Files,Unknown,,,,,
ECCO Database File,.eco,Database Files,Unknown,,,,,
Data Definition Language File,.ddl,Compressed,Unknown,,,,,
PEA File Archive,.pea,Encoded Files,Unknown,,,,,
Safetica Free Encrypted Virtual Disk Archive,.dco,Developer Files,Unknown,,,,,
Pika Software Builder Project File,.pika,System Files,Unknown,,,,,
Group Policy Language-Specific Administrative Template,.adml,Plugin Files,Unknown,,,,,
Foxit Reader Add-on,.fzip,Compressed,Unknown,,,,,
ISH Compressed Archive,.ish,eBook,Unknown,,,,,
Kindle End Actions File,.ea,GIS Files,Unknown,,,,,
SEG-Y Data File,.segy,Compressed,Unknown,,,,,
First Split Zip File,.z01,Settings Files,Unknown,,,,,
Cubase Drum Map File,.drm,Executable,Unknown,,,,,
Murgee Auto Mouse Click Script,.mamc,Raster Images,Unknown,,,,,
Diesel Engine Game Texture File,.texture,CAD Files,Unknown,,,,,
Altium Designer Schematic Document,.schdoc,Compressed,Unknown,,,,,
LZO Compressed File,.lzo,Text,Unknown,,,,,
RichView Format File,.rvf,Disk Images,Unknown,,,,,
Norum Vapor CD,.vaporcd,Images,Unknown,,,,,
Q0 Image,.q0,Compressed,Unknown,,,,,
WinRAR Split Archive Part 21,.r21,Web Files,Unknown,,,,,
RapidWeaver Site File,.rwsw,Settings Files,Unknown,,,,,
Kindle Create Book File,.kcb,Vector Images,image/svg+xml,,,,,
Scalable Vector Graphic,.svg,CAD Files,Unknown,,,,,
Compessed IFC File,.ifczip,Disk Images,Unknown,,,,,
IsoBuster Data File,.ibdat,Misc Files,Unknown,,,,,
Help & Manual 4 Project,.hmx,Settings Files,Unknown,,,,,
Photoshop Gradient File,.grd,Misc Files,Unknown,,,,,
Advanced Encryption Package Key File,.aepkey,Video,Unknown,,,,,
Camtasia MenuMaker Template,.cmmtpl,3D Images,Unknown,,,,,
FaceFX Actor File,.facefx,Plugin Files,Unknown,,,,,
Adobe Extension Script,.exv,Misc Files,Unknown,,,,,
DownThemAll! Partially Downloaded File,.dtapart,Text,Unknown,,,,,
Nunjucks Template,.njk,Plugin Files,Unknown,,,,,
Ableton Live Pack File,.alp,Disk Images,Unknown,,,,,
Virtual CD Collection File,.vco,3D Images,Unknown,,,,,
Blockbench 3D Scene,.bbscene,Data Files,Unknown,,,,,
Catalyst Translation Toolkit,.ttk,Web Files,application/x-x509-ca-cert,,,,,
Security Certificate,.crt,Compressed,Unknown,,,,,
IZArc BGA Archive,.bza,Images,Unknown,,,,,
Cloe Ray-Tracer Image,.cloe,Encoded Files,Unknown,,,,,
Locky Ransomware Encrypted File,.ykcol,Encoded Files,application/vnd.cryptomator.encrypted,,,,,
Cryptomator Encrypted Data,.c9r,Page Layouts,Unknown,,,,,
Comic Life 2 Layout File,.cl2lyt,Misc Files,Unknown,,,,,
BitComet Partially Downloaded File,.bc,Plugin Files,Unknown,,,,,
WordPress Widget Export File,.wie,Encoded Files,Unknown,,,,,
Safeguard PDF Security Protected PDF,.pdc,Audio,Unknown,,,,,
CARA Sound Radiation Data File,.bdd,Vector Images,image/x-freehand,,,,,
FreeHand 5 Drawing File,.fh5,Misc Files,Unknown,,,,,
Adobe Profile File,.apf,Text,Unknown,,,,,
Frequently Asked Questions Document,.faq,Plugin Files,Unknown,,,,,
PhotoDeluxe Plug-in,.8bx,Compressed,Unknown,,,,,
SimulationX Project,.isx,Text,Unknown,,,,,
FoxPro Menu Memo,.mnt,Encoded Files,Unknown,,,,,
Android System File,.tar.md5,Database Files,Unknown,,,,,
JET Database File,.jet,Game Files,Unknown,,,,,
Jazz Jackrabbit 2 Level File,.j2l,Web Files,Unknown,,,,,
Newline Delimited JSON File,.ndjson,Settings Files,Unknown,,,,,
ImageMagick Configuration File,.mgk,Settings Files,Unknown,,,,,
Maxthon 2 Browser Skin File,.m2s,Web Files,Unknown,,,,,
ZK User Interface File,.zul,Disk Images,Unknown,,,,,
Scrambled Wii Disc Image,.wii,Vector Images,Unknown,,,,,
Canvas 5 Drawing File,.cv5,Audio,Unknown,,,,,
POD HD500 Edit Set List,.h5s,Page Layouts,application/vnd.balsamiq.bmpr,,,,,
Balsamiq Mockups Project,.bmpr,Database Files,audio/adpcm,,,,,
Access Data Project,.adp,Raster Images,Unknown,,,,,
PixelStyle Image,.psdb,Plugin Files,Unknown,,,,,
ArtRage Package,.arpack,Settings Files,Unknown,,,,,
Virtual CD Quick Copy File,.vqc,Developer Files,Unknown,,,,,
FlashDevelop ActionScript 3 Project File,.as3proj,Data Files,Unknown,,,,,
FileMaker Pro Snapshot Link,.fpsl,Settings Files,Unknown,,,,,
Java Policy Implementation File,.policy,Misc Files,Unknown,,,,,
Casio Prizm Add-in File,.g3a,Raster Images,Unknown,,,,,
Houdini Image 3D File,.i3d,Settings Files,Unknown,,,,,
Cinema 4D Layout,.l4d,Vector Images,Unknown,,,,,
ArtCut 6 Document,.ac6,Encoded Files,Unknown,,,,,
Safe Exam Browser Configuration File,.seb,Game Files,Unknown,,,,,
